
testcases/common/oncoming-trick.xml
timestamp,# collisions,agent 0 path length,agent 0 effort,agent 0 get target,agent 1 path length,agent 1 effort,agent 1get target,
0,,0;0.00544341,false,0;0.00544341,false,
0.133333,,0.12986;0.434165,false,0.12986;0.434166,false,
0.135,,0.131411;0.43941,false,0.131411;0.439411,false,
0.136667,,0.132962;0.44465,false,0.132962;0.444651,false,
0.138333,,0.134511;0.449885,false,0.134511;0.449886,false,
0.14,,0.136059;0.455116,false,0.136059;0.455117,false,
0.141667,,0.137605;0.460341,false,0.137605;0.460342,false,
0.143333,,0.139151;0.465562,false,0.139151;0.465563,false,
0.145,,0.140695;0.470777,false,0.140695;0.470778,false,
0.146667,,0.142239;0.475987,false,0.142238;0.475988,false,
0.148333,,0.143781;0.481191,false,0.14378;0.481192,false,
0.15,,0.145322;0.486389,false,0.145321;0.48639,false,
0.151667,,0.146862;0.49158,false,0.146861;0.491581,false,
0.153333,,0.1484;0.496765,false,0.1484;0.496766,false,
0.155,,0.149938;0.501942,false,0.149937;0.501943,false,
0.156667,,0.151475;0.507111,false,0.151474;0.507112,false,
0.158333,,0.15301;0.512273,false,0.153009;0.512274,false,
0.16,,0.154545;0.517429,false,0.154544;0.51743,false,
0.161667,,0.156078;0.522579,false,0.156077;0.52258,false,
0.163333,,0.157609;0.527724,false,0.157608;0.527725,false,
0.165,,0.159138;0.532864,false,0.159138;0.532865,false,
0.166667,,0.160665;0.538,false,0.160665;0.538001,false,
0.168333,,0.16219;0.543132,false,0.162189;0.543133,false,
0.17,,0.163711;0.54826,false,0.163711;0.548261,false,
0.171667,,0.16523;0.553386,false,0.16523;0.553387,false,
0.173333,,0.166747;0.558508,false,0.166746;0.558509,false,
0.175,,0.16826;0.563628,false,0.16826;0.563629,false,
0.176667,,0.169772;0.568746,false,0.169771;0.568747,false,
0.178333,,0.17128;0.573862,false,0.17128;0.573863,false,
0.18,,0.172786;0.578976,false,0.172786;0.578978,false,
0.181667,,0.17429;0.58409,false,0.174289;0.584091,false,
0.183333,,0.175791;0.589202,false,0.175791;0.589203,false,
0.185,,0.177291;0.594313,false,0.17729;0.594314,false,
0.186667,,0.178788;0.599423,false,0.178787;0.599424,false,
0.188333,,0.180284;0.604534,false,0.180283;0.604535,false,
0.19,,0.181778;0.609644,false,0.181777;0.609645,false,
0.191667,,0.183271;0.614755,false,0.18327;0.614755,false,
0.193333,,0.184762;0.619865,false,0.184761;0.619866,false,
0.195,,0.186252;0.624977,false,0.186251;0.624978,false,
0.196667,,0.187741;0.630089,false,0.18774;0.63009,false,
0.198333,,0.189229;0.635202,false,0.189228;0.635203,false,
0.2,,0.190716;0.640317,false,0.190715;0.640318,false,
0.201667,,0.192202;0.645433,false,0.192201;0.645434,false,
0.203333,,0.193688;0.650551,false,0.193687;0.650551,false,
0.205,,0.195174;0.65567,false,0.195173;0.655671,false,
0.206667,,0.19666;0.660792,false,0.196659;0.660792,false,
0.208333,,0.198145;0.665916,false,0.198144;0.665916,false,
0.21,,0.199631;0.671042,false,0.199629;0.671042,false,
0.211667,,0.201116;0.676171,false,0.201115;0.676171,false,
0.213333,,0.202603;0.681303,false,0.202601;0.681303,false,
0.215,,0.20409;0.686437,false,0.204088;0.686437,false,
0.216667,,0.205577;0.691575,false,0.205575;0.691575,false,
0.218333,,0.207064;0.696716,false,0.207063;0.696716,false,
0.22,,0.208553;0.70186,false,0.208552;0.70186,false,
0.221667,,0.210043;0.707008,false,0.210042;0.707009,false,
0.223333,,0.211491;0.712184,false,0.21149;0.712184,false,
0.225,,0.212947;0.717365,false,0.212946;0.717365,false,
0.226667,,0.214413;0.722551,false,0.214411;0.722551,false,
0.228333,,0.215885;0.727742,false,0.215884;0.727742,false,
0.23,,0.217364;0.732939,false,0.217362;0.732939,false,
0.231667,,0.218847;0.738141,false,0.218845;0.738141,false,
0.233333,,0.220335;0.743348,false,0.220333;0.743349,false,
0.235,,0.221827;0.748561,false,0.221826;0.748562,false,
0.236667,,0.223324;0.75378,false,0.223323;0.75378,false,
0.238333,,0.224825;0.759005,false,0.224824;0.759005,false,
0.24,,0.22633;0.764235,false,0.226329;0.764235,false,
0.241667,,0.227839;0.769472,false,0.227838;0.769472,false,
0.243333,,0.229352;0.774714,false,0.229351;0.774714,false,
0.245,,0.230869;0.779963,false,0.230867;0.779963,false,
0.246667,,0.232389;0.785218,false,0.232388;0.785218,false,
0.248333,,0.233913;0.790479,false,0.233912;0.790479,false,
0.25,,0.23544;0.795747,false,0.235439;0.795747,false,
0.251667,,0.236972;0.801021,false,0.23697;0.801021,false,
0.253333,,0.238506;0.806302,false,0.238505;0.806302,false,
0.255,,0.240045;0.81159,false,0.240043;0.81159,false,
0.256667,,0.241587;0.816885,false,0.241585;0.816885,false,
0.258333,,0.243132;0.822186,false,0.243131;0.822186,false,
0.26,,0.244681;0.827495,false,0.24468;0.827495,false,
0.261667,,0.246234;0.83281,false,0.246232;0.83281,false,
0.263333,,0.24779;0.838134,false,0.247789;0.838134,false,
0.265,,0.24935;0.843464,false,0.249349;0.843465,false,
0.266667,,0.250913;0.848801,false,0.250912;0.848802,false,
0.268333,,0.252481;0.854147,false,0.252479;0.854147,false,
0.27,,0.254051;0.8595,false,0.25405;0.8595,false,
0.271667,,0.255625;0.864861,false,0.255624;0.864861,false,
0.273333,,0.257203;0.87023,false,0.257202;0.87023,false,
0.275,,0.258784;0.875607,false,0.258783;0.875608,false,
0.276667,,0.26037;0.880993,false,0.260369;0.880993,false,
0.278333,,0.261959;0.886386,false,0.261957;0.886387,false,
0.28,,0.263551;0.891789,false,0.26355;0.891789,false,
0.281667,,0.265148;0.897199,false,0.265147;0.8972,false,
0.283333,,0.266748;0.902619,false,0.266747;0.902619,false,
0.285,,0.268352;0.908047,false,0.268351;0.908047,false,
0.286667,,0.26996;0.913484,false,0.269959;0.913484,false,
0.288333,,0.271572;0.91893,false,0.271571;0.918931,false,
0.29,,0.273187;0.924386,false,0.273187;0.924386,false,
0.291667,,0.274806;0.929851,false,0.274806;0.929851,false,
0.293333,,0.27643;0.935325,false,0.276429;0.935325,false,
0.295,,0.278057;0.940809,false,0.278057;0.940809,false,
0.296667,,0.279689;0.946302,false,0.279688;0.946303,false,
0.298333,,0.281324;0.951806,false,0.281323;0.951806,false,
0.3,,0.282963;0.957319,false,0.282962;0.957319,false,
0.301667,,0.284607;0.962842,false,0.284606;0.962842,false,
0.303333,,0.286254;0.968376,false,0.286253;0.968376,false,
0.305,,0.287905;0.97392,false,0.287905;0.97392,false,
0.306667,,0.289561;0.979475,false,0.28956;0.979475,false,
0.308333,,0.29122;0.98504,false,0.29122;0.98504,false,
0.31,,0.292884;0.990616,false,0.292883;0.990616,false,
0.311667,,0.294552;0.996203,false,0.294551;0.996203,false,
0.313333,,0.296224;1.0018,false,0.296223;1.0018,false,
0.315,,0.2979;1.00741,false,0.297899;1.00741,false,
0.316667,,0.29958;1.01303,false,0.299579;1.01303,false,
0.318333,,0.301265;1.01866,false,0.301264;1.01866,false,
0.32,,0.302954;1.02431,false,0.302953;1.02431,false,
0.321667,,0.304647;1.02996,false,0.304646;1.02996,false,
0.323333,,0.306345;1.03563,false,0.306343;1.03563,false,
0.325,,0.308047;1.04131,false,0.308046;1.04131,false,
0.326667,,0.309752;1.047,false,0.309752;1.047,false,
0.328333,,0.311462;1.0527,false,0.311462;1.05271,false,
0.33,,0.313177;1.05842,false,0.313177;1.05842,false,
0.331667,,0.314896;1.06415,false,0.314896;1.06415,false,
0.333333,,0.31662;1.06989,false,0.31662;1.0699,false,
0.335,,0.318348;1.07565,false,0.318349;1.07565,false,
0.336667,,0.320081;1.08142,false,0.320082;1.08142,false,
0.338333,,0.321818;1.0872,false,0.321819;1.0872,false,
0.34,,0.32356;1.093,false,0.323561;1.093,false,
0.341667,,0.325306;1.09881,false,0.325307;1.09881,false,
0.343333,,0.327057;1.10463,false,0.327058;1.10463,false,
0.345,,0.328812;1.11047,false,0.328814;1.11047,false,
0.346667,,0.330573;1.11632,false,0.330574;1.11632,false,
0.348333,,0.332338;1.12219,false,0.332339;1.12219,false,
0.35,,0.334108;1.12807,false,0.334109;1.12807,false,
0.351667,,0.335882;1.13397,false,0.335883;1.13397,false,
0.353333,,0.337661;1.13988,false,0.337662;1.13988,false,
0.355,,0.339444;1.1458,false,0.339446;1.1458,false,
0.356667,,0.341233;1.15174,false,0.341235;1.15175,false,
0.358333,,0.343026;1.1577,false,0.343028;1.1577,false,
0.36,,0.344824;1.16367,false,0.344826;1.16368,false,
0.361667,,0.346627;1.16966,false,0.346628;1.16967,false,
0.363333,,0.348434;1.17567,false,0.348436;1.17567,false,
0.365,,0.350247;1.18169,false,0.350249;1.18169,false,
0.366667,,0.352064;1.18773,false,0.352066;1.18773,false,
0.368333,,0.353886;1.19378,false,0.353888;1.19378,false,
0.37,,0.355714;1.19985,false,0.355716;1.19985,false,
0.371667,,0.357546;1.20594,false,0.357548;1.20594,false,
0.373333,,0.359383;1.21205,false,0.359385;1.21205,false,
0.375,,0.361225;1.21817,false,0.361227;1.21817,false,
0.376667,,0.363072;1.22431,false,0.363074;1.22431,false,
0.378333,,0.364924;1.23047,false,0.364926;1.23047,false,
0.38,,0.366781;1.23665,false,0.366783;1.23665,false,
0.381667,,0.368643;1.24285,false,0.368645;1.24285,false,
0.383333,,0.37051;1.24906,false,0.370512;1.24906,false,
0.385,,0.372382;1.25529,false,0.372384;1.2553,false,
0.386667,,0.37426;1.26155,false,0.374261;1.26155,false,
0.388333,,0.376142;1.26782,false,0.376143;1.26782,false,
0.39,,0.37803;1.27411,false,0.378031;1.27411,false,
0.391667,,0.379922;1.28042,false,0.379924;1.28043,false,
0.393333,,0.38182;1.28676,false,0.381822;1.28676,false,
0.395,,0.383724;1.29311,false,0.383725;1.29311,false,
0.396667,,0.385632;1.29948,false,0.385634;1.29948,false,
0.398333,,0.387546;1.30587,false,0.387547;1.30588,false,
0.4,,0.389465;1.31229,false,0.389466;1.31229,false,
0.401667,,0.391389;1.31872,false,0.391391;1.31872,false,
0.403333,,0.393319;1.32518,false,0.39332;1.32518,false,
0.405,,0.395254;1.33166,false,0.395256;1.33166,false,
0.406667,,0.397194;1.33816,false,0.397196;1.33816,false,
0.408333,,0.39914;1.34468,false,0.399141;1.34468,false,
0.41,,0.401091;1.35122,false,0.401092;1.35123,false,
0.411667,,0.403047;1.35779,false,0.403049;1.35779,false,
0.413333,,0.405009;1.36438,false,0.40501;1.36438,false,
0.415,,0.406976;1.37099,false,0.406977;1.371,false,
0.416667,,0.408948;1.37763,false,0.408949;1.37763,false,
0.418333,,0.410927;1.38429,false,0.410928;1.38429,false,
0.42,,0.41291;1.39098,false,0.412911;1.39098,false,
0.421667,,0.414899;1.39768,false,0.4149;1.39768,false,
0.423333,,0.416893;1.40442,false,0.416894;1.40442,false,
0.425,,0.418893;1.41117,false,0.418893;1.41117,false,
0.426667,,0.420898;1.41795,false,0.420899;1.41795,false,
0.428333,,0.422909;1.42476,false,0.422909;1.42476,false,
0.43,,0.424925;1.43159,false,0.424925;1.43159,false,
0.431667,,0.426946;1.43845,false,0.426946;1.43845,false,
0.433333,,0.428973;1.44533,false,0.428973;1.44533,false,
0.435,,0.431005;1.45224,false,0.431005;1.45224,false,
0.436667,,0.433043;1.45918,false,0.433042;1.45918,false,
0.438333,,0.435087;1.46614,false,0.435086;1.46614,false,
0.44,,0.437135;1.47313,false,0.437134;1.47313,false,
0.441667,,0.43919;1.48015,false,0.439188;1.48015,false,
0.443333,,0.44125;1.48719,false,0.441248;1.48719,false,
0.445,,0.443315;1.49427,false,0.443314;1.49427,false,
0.446667,,0.445386;1.50137,false,0.445384;1.50137,false,
0.448333,,0.447462;1.5085,false,0.44746;1.5085,false,
0.45,,0.449544;1.51565,false,0.449542;1.51565,false,
0.451667,,0.451631;1.52284,false,0.451629;1.52284,false,
0.453333,,0.453723;1.53006,false,0.453721;1.53006,false,
0.455,,0.45582;1.5373,false,0.455818;1.5373,false,
0.456667,,0.457924;1.54458,false,0.457922;1.54458,false,
0.458333,,0.460033;1.55188,false,0.46003;1.55188,false,
0.46,,0.462147;1.55922,false,0.462144;1.55922,false,
0.461667,,0.464266;1.56658,false,0.464263;1.56659,false,
0.463333,,0.466389;1.57397,false,0.466386;1.57398,false,
0.465,,0.468516;1.58139,false,0.468516;1.58141,false,
0.466667,,0.470647;1.58884,false,0.470651;1.58887,false,
0.468333,,0.472781;1.59631,false,0.472792;1.59636,false,
0.47,,0.474919;1.60382,false,0.474935;1.60388,false,
0.471667,,0.47706;1.61136,false,0.477082;1.61142,false,
0.473333,,0.479202;1.61893,false,0.479232;1.619,false,
0.475,,0.481347;1.62653,false,0.481384;1.62661,false,
0.476667,,0.483496;1.63416,false,0.483538;1.63424,false,
0.478333,,0.485647;1.64181,false,0.485697;1.6419,false,
0.48,,0.487799;1.6495,false,0.487857;1.64959,false,
0.481667,,0.489953;1.65721,false,0.49002;1.6573,false,
0.483333,,0.492108;1.66496,false,0.492184;1.66505,false,
0.485,,0.494263;1.67273,false,0.494349;1.67283,false,
0.486667,,0.49642;1.68054,false,0.496514;1.68065,false,
0.488333,,0.498577;1.68839,false,0.49868;1.68849,false,
0.49,,0.500734;1.69627,false,0.500847;1.69637,false,
0.491667,,0.502892;1.70419,false,0.503014;1.70429,false,
0.493333,,0.505051;1.71214,false,0.505181;1.71224,false,
0.495,,0.50721;1.72013,false,0.507349;1.72023,false,
0.496667,,0.509369;1.72816,false,0.509517;1.72826,false,
0.498333,,0.511529;1.73623,false,0.511686;1.73633,false,
0.5,,0.51369;1.74434,false,0.513855;1.74443,false,
0.501667,,0.515851;1.75249,false,0.516025;1.75258,false,
0.503333,,0.518012;1.76069,false,0.518195;1.76077,false,
0.505,,0.520175;1.76893,false,0.520366;1.769,false,
0.506667,,0.522338;1.77721,false,0.522537;1.77728,false,
0.508333,,0.524503;1.78553,false,0.52471;1.7856,false,
0.51,,0.52667;1.7939,false,0.526884;1.79397,false,
0.511667,,0.528838;1.80232,false,0.52906;1.80237,false,
0.513333,,0.531008;1.81077,false,0.531237;1.81083,false,
0.515,,0.533181;1.81928,false,0.533417;1.81932,false,
0.516667,,0.535355;1.82783,false,0.535598;1.82787,false,
0.518333,,0.537531;1.83642,false,0.537782;1.83645,false,
0.52,,0.53971;1.84506,false,0.539968;1.84509,false,
0.521667,,0.541891;1.85375,false,0.542156;1.85377,false,
0.523333,,0.544075;1.86248,false,0.544346;1.8625,false,
0.525,,0.546261;1.87126,false,0.546539;1.87127,false,
0.526667,,0.548449;1.88009,false,0.548734;1.8801,false,
0.528333,,0.55064;1.88897,false,0.550932;1.88897,false,
0.53,,0.552834;1.8979,false,0.553132;1.89789,false,
0.531667,,0.55503;1.90688,false,0.555335;1.90686,false,
0.533333,,0.55723;1.91591,false,0.557541;1.91588,false,
0.535,,0.559432;1.92499,false,0.559749;1.92496,false,
0.536667,,0.561638;1.93412,false,0.56196;1.93408,false,
0.538333,,0.563846;1.9433,false,0.564175;1.94325,false,
0.54,,0.56606;1.95253,false,0.566394;1.95248,false,
0.541667,,0.568275;1.96181,false,0.568615;1.96176,false,
0.543333,,0.570494;1.97115,false,0.57084;1.97109,false,
0.545,,0.572716;1.98055,false,0.573067;1.98048,false,
0.546667,,0.574941;1.99,false,0.575298;1.98992,false,
0.548333,,0.57717;1.9995,false,0.577533;1.99941,false,
0.55,,0.579402;2.00906,false,0.579771;2.00896,false,
0.551667,,0.581638;2.01868,false,0.582012;2.01857,false,
0.553333,,0.583878;2.02835,false,0.584257;2.02824,false,
0.555,,0.586122;2.03808,false,0.586507;2.03796,false,
0.556667,,0.588369;2.04787,false,0.58876;2.04774,false,
0.558333,,0.590621;2.05771,false,0.591017;2.05757,false,
0.56,,0.592878;2.06761,false,0.59328;2.06746,false,
0.561667,,0.595139;2.07757,false,0.595546;2.07741,false,
0.563333,,0.597404;2.08759,false,0.597816;2.08743,false,
0.565,,0.599673;2.09767,false,0.60009;2.0975,false,
0.566667,,0.601947;2.10782,false,0.602368;2.10763,false,
0.568333,,0.604225;2.11802,false,0.60465;2.11782,false,
0.57,,0.606507;2.12828,false,0.606937;2.12808,false,
0.571667,,0.608795;2.13861,false,0.609229;2.13839,false,
0.573333,,0.611086;2.149,false,0.611525;2.14877,false,
0.575,,0.613383;2.15945,false,0.613825;2.15921,false,
0.576667,,0.615684;2.16996,false,0.616131;2.16972,false,
0.578333,,0.617992;2.18054,false,0.618442;2.18028,false,
0.58,,0.620303;2.19118,false,0.620757;2.19091,false,
0.581667,,0.622619;2.20188,false,0.623077;2.20161,false,
0.583333,,0.62494;2.21266,false,0.625401;2.21237,false,
0.585,,0.627266;2.2235,false,0.62773;2.2232,false,
0.586667,,0.629597;2.2344,false,0.630065;2.2341,false,
0.588333,,0.631933;2.24538,false,0.632404;2.24506,false,
0.59,,0.634274;2.25642,false,0.634748;2.25609,false,
0.591667,,0.63662;2.26753,false,0.637097;2.26719,false,
0.593333,,0.638972;2.27871,false,0.639452;2.27836,false,
0.595,,0.641329;2.28996,false,0.641811;2.2896,false,
0.596667,,0.643691;2.30127,false,0.644176;2.30091,false,
0.598333,,0.646058;2.31266,false,0.646547;2.31228,false,
0.6,,0.648431;2.32412,false,0.648923;2.32373,false,
0.601667,,0.650808;2.33565,false,0.651303;2.33524,false,
0.603333,,0.653191;2.34725,false,0.653688;2.34684,false,
0.605,,0.65558;2.35893,false,0.656078;2.3585,false,
0.606667,,0.657973;2.37068,false,0.658473;2.37025,false,
0.608333,,0.660372;2.38251,false,0.660874;2.38206,false,
0.61,,0.662777;2.39441,false,0.663279;2.39395,false,
0.611667,,0.665187;2.40639,false,0.665691;2.40592,false,
0.613333,,0.667602;2.41844,false,0.668107;2.41797,false,
0.615,,0.670023;2.43056,false,0.670529;2.43009,false,
0.616667,,0.67245;2.44276,false,0.672957;2.44228,false,
0.618333,,0.674882;2.45504,false,0.67539;2.45455,false,
0.62,,0.677319;2.4674,false,0.677828;2.46691,false,
0.621667,,0.679762;2.47984,false,0.680271;2.47934,false,
0.623333,,0.68221;2.49236,false,0.68272;2.49186,false,
0.625,,0.684663;2.50497,false,0.685173;2.50445,false,
0.626667,,0.687122;2.51765,false,0.687632;2.51713,false,
0.628333,,0.689586;2.53042,false,0.690096;2.52989,false,
0.63,,0.692055;2.54327,false,0.692566;2.54273,false,
0.631667,,0.694529;2.5562,false,0.69504;2.55566,false,
0.633333,,0.697009;2.56921,false,0.69752;2.56867,false,
0.635,,0.699494;2.58231,false,0.700005;2.58177,false,
0.636667,,0.701985;2.59549,false,0.702496;2.59495,false,
0.638333,,0.70448;2.60876,false,0.704991;2.60822,false,
0.64,,0.706979;2.62212,false,0.707491;2.62158,false,
0.641667,,0.709484;2.63557,false,0.709997;2.63503,false,
0.643333,,0.711994;2.6491,false,0.712508;2.64856,false,
0.645,,0.714508;2.66273,false,0.715023;2.66218,false,
0.646667,,0.717028;2.67645,false,0.717544;2.6759,false,
0.648333,,0.719552;2.69025,false,0.720069;2.6897,false,
0.65,,0.722081;2.70415,false,0.722599;2.7036,false,
0.651667,,0.724615;2.71815,false,0.725134;2.71759,false,
0.653333,,0.727153;2.73224,false,0.727673;2.73167,false,
0.655,,0.729696;2.74642,false,0.730217;2.74585,false,
0.656667,,0.732244;2.76069,false,0.732766;2.76012,false,
0.658333,,0.734796;2.77507,false,0.73532;2.77449,false,
0.66,,0.737352;2.78954,false,0.737877;2.78896,false,
0.661667,,0.739913;2.8041,false,0.740439;2.80352,false,
0.663333,,0.742478;2.81877,false,0.743005;2.81818,false,
0.665,,0.745048;2.83353,false,0.745576;2.83293,false,
0.666667,,0.747621;2.84839,false,0.74815;2.84779,false,
0.668333,,0.750199;2.86336,false,0.750728;2.86275,false,
0.67,,0.75278;2.87842,false,0.753311;2.87781,false,
0.671667,,0.755366;2.89359,false,0.755897;2.89297,false,
0.673333,,0.757955;2.90886,false,0.758487;2.90823,false,
0.675,,0.760548;2.92423,false,0.761081;2.92359,false,
0.676667,,0.763145;2.93971,false,0.763678;2.93906,false,
0.678333,,0.765744;2.95529,false,0.766279;2.95464,false,
0.68,,0.768348;2.97098,false,0.768884;2.97032,false,
0.681667,,0.770955;2.98678,false,0.771492;2.98611,false,
0.683333,,0.773565;3.00269,false,0.774103;3.00201,false,
0.685,,0.776178;3.0187,false,0.776717;3.01801,false,
0.686667,,0.778795;3.03483,false,0.779335;3.03413,false,
0.688333,,0.781415;3.05106,false,0.781956;3.05036,false,
0.69,,0.784038;3.06741,false,0.78458;3.0667,false,
0.691667,,0.786664;3.08388,false,0.787207;3.08315,false,
0.693333,,0.789292;3.10045,false,0.789837;3.09971,false,
0.695,,0.791924;3.11714,false,0.792469;3.1164,false,
0.696667,,0.794558;3.13395,false,0.795104;3.13319,false,
0.698333,,0.797195;3.15087,false,0.797742;3.1501,false,
0.7,,0.799834;3.16791,false,0.800382;3.16713,false,
0.701667,,0.802476;3.18507,false,0.803025;3.18428,false,
0.703333,,0.80512;3.20235,false,0.80567;3.20155,false,
0.705,,0.807766;3.21975,false,0.808317;3.21894,false,
0.706667,,0.810414;3.23728,false,0.810967;3.23645,false,
0.708333,,0.813064;3.25493,false,0.813618;3.25408,false,
0.71,,0.815716;3.2727,false,0.816271;3.27184,false,
0.711667,,0.81837;3.2906,false,0.818926;3.28973,false,
0.713333,,0.821026;3.30862,false,0.821583;3.30774,false,
0.715,,0.823684;3.32677,false,0.824241;3.32588,false,
0.716667,,0.826343;3.34505,false,0.826901;3.34414,false,
0.718333,,0.829003;3.36346,false,0.829562;3.36254,false,
0.72,,0.831665;3.382,false,0.832225;3.38106,false,
0.721667,,0.834328;3.40067,false,0.834889;3.39973,false,
0.723333,,0.836992;3.41948,false,0.837554;3.41852,false,
0.725,,0.839658;3.43841,false,0.84022;3.43745,false,
0.726667,,0.842324;3.45749,false,0.842888;3.45652,false,
0.728333,,0.844991;3.47669,false,0.845556;3.47572,false,
0.73,,0.847659;3.49604,false,0.848226;3.49506,false,
0.731667,,0.850327;3.51552,false,0.850896;3.51453,false,
0.733333,,0.852996;3.53514,false,0.853566;3.53414,false,
0.735,,0.855665;3.5549,false,0.856237;3.5539,false,
0.736667,,0.858334;3.57481,false,0.858908;3.57379,false,
0.738333,,0.861003;3.59485,false,0.86158;3.59382,false,
0.74,,0.863673;3.61504,false,0.864252;3.614,false,
